SKU,Lines,LooseUOH1Lines,LooseUOH1sperLooseUOH1Lines,FullUOH2Lines,FullUOH2sperFullUOH2Lines,FullUOH3Lines,FullUOH3sperFullUOH3Lines,ShipDate,1,2,3,4,A,C,M,P,R
CBIN006595X,1.0986122886681098,0.0,0.0,0.0,0.0,1.0,2.6666666666666665,3,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006596X,1.791759469228055,0.6666666666666666,5.0,0.5,5.666666666666667,1.0,2.6666666666666665,4,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006597,0.0,1.0,6.0,1.0,2.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0,1,0,0,0
CBIN006620X,1.791759469228055,0.16666666666666666,7.0,0.8333333333333334,11.8,0.8333333333333334,2.0,5,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006643X,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006665X,2.0794415416798357,0.125,4.0,0.375,4.666666666666667,1.0,3.75,8,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006666,0.0,1.0,7.0,1.0,1.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0,1,0,0,0
CBIN006666X,1.3862943611198906,0.25,6.0,0.75,2.0,1.0,24.25,1,0.0,0.0,1.0,0.0,0,1,0,0,0
CBIN006700,0.0,1.0,5.0,1.0,10.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0,1,0,0,0
CBIN006700X,4.07753744390572,0.1016949152542373,4.833333333333333,0.3220338983050847,8.631578947368421,0.9830508474576272,4.172413793103448,26,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006701,0.0,0.0,0.0,1.0,15.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0,1,0,0,0
CBIN006701X,2.0794415416798357,0.5,3.75,0.75,9.833333333333334,0.875,3.2857142857142856,5,0.0,0.875,0.125,0.0,0,1,0,0,0
CBIN006702X,1.0986122886681098,0.0,0.0,1.0,12.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006703X,1.0986122886681098,0.3333333333333333,4.0,1.0,10.333333333333334,0.6666666666666666,1.0,3,0.0,1.0,0.0,0.0,0,1,0,0,0
